1033,MOCHIS,GALON,YAQUI MOCHIS MUUU ENTERA,24,20,480,04/07/2015,sabado,27,4,0,Julio,2015,84,84,"2,016","2,016",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,15
4145,VARIOS,GALON,BLANCO C-358 ROSCA,24,20,480,04/07/2015,sabado,27,4,0,Julio,2015,3,3,72,72,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,2
4151,PURASANTA,GALON,AGUA PURASANTA,24,20,480,04/07/2015,sabado,27,4,0,Julio,2015,22,22,528,528,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,2
4166,MOCHIS,LITRO,YAQUI MOC MUU DESLAC,96,20,1920,06/07/2015,lunes,27,6,1,Julio,2015,31,31,"2,976","2,976",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
4160,MEXICALI,LITRO,LOW FAT FOREMOST,96,20,1920,06/07/2015,lunes,27,6,1,Julio,2015,60,60,"5,760","5,760",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
4159,MEXICALI,LITRO,FOREMOST,96,20,1920,06/07/2015,lunes,27,6,1,Julio,2015,180,180,"17,280","17,280",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
7179,MOCHIS,LITRO,NUTRI YAQUI MOCHIS S/PRECIO REFRESCATE BCS $ 6 $ 11,96,20,1920,06/07/2015,lunes,27,6,1,Julio,2015,72,72,"6,912","6,912",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
7035,MOCHIS,LITRO,YAQUI MOC MUU ENTERA,96,20,1920,06/07/2015,lunes,27,6,1,Julio,2015,400,400,"38,400","38,400",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
4158,VARIOS,LITRO,ENVASE BLANCO C-358,96,20,1920,06/07/2015,lunes,27,6,1,Julio,2015,9,9,864,864,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
4179,MOCHIS,MEDIO GALON,YAQUI MOC MUU DESLAC,54,20,1080,06/07/2015,lunes,27,6,1,Julio,2015,42,42,"2,268","2,268",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
6034,MOCHIS,MEDIO GALON,YAQUI MOC MUU ENTERA,54,20,1080,06/07/2015,lunes,27,6,1,Julio,2015,240,240,"12,960","12,960",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
6019,COMONDU,MEDIO GALON,DEL VALLE LOW FAT,54,20,1080,06/07/2015,lunes,27,6,1,Julio,2015,410,410,"22,140","22,140",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
6018,COMONDU,MEDIO GALON,DEL VALLE ENTERA,54,20,1080,06/07/2015,lunes,27,6,1,Julio,2015,405,405,"21,870","21,870",100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
4169,VARIOS,MEDIO GALON,ENVASE BLANCO C-358,54,20,1080,06/07/2015,lunes,27,6,1,Julio,2015,8,8,432,432,100%,3,XXXXXXXXXXXX,XXXXXX,Externo,1,Jesus Ramirez ,20
1042,MOCHIS,GALON,NUTRI YAQUI MOCHIS  S/P,24,20,480,06/07/2015,lunes,27,6,1,Julio,2015,115,115,"2,760","2,760",100%,1,Eugenio Gastelum,05 y 06,Interno,1,Jesus Ramirez ,20
